Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000571,Air Handling Units - General,5,2018-05-15,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000572,Room Air Conditioners,8,2016-01-20,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000573,Room Air Conditioners,0,2023-10-08,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000574,Room Air Conditioners,12,2011-10-09,55,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000575,Room Air Conditioners,7,2016-06-16,38,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000576,Ventilating Fans - General,6,2017-07-12,41,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000577,Cable and Track/Rail Based Safety Systems,0,2023-11-30,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000578,Vehicle Charging Point,24,1999-10-01,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000579,Ventilating Fans - General,8,2015-08-08,39,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category U (Unverified Asset): Further investigation required to identify asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000580,Rising Fire Mains and Hydrants,2,2021-11-20,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000581,Vehicle Charging Point,15,2009-02-03,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000582,Room Air Conditioners,8,2015-06-17,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000583,Fluid Filled Transformer,2,2021-12-04,46,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000584,Packaged Chiller Units,7,2016-07-17,40,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,5,4. Significant,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000585,Room Air Conditioners,2,2022-01-29,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000586,Rising Fire Mains and Hydrants,11,2012-06-05,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000587,Vehicle Charging Point,19,2005-02-24,64,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000588,Room Air Conditioners,3,2021-04-08,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000589,Ventilating Fans - General,18,2005-09-24,41,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000590,Roof and Canopy Fall Protection Systems,2,2022-04-19,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000591,Room Air Conditioners,9,2014-09-01,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000592,Room Air Conditioners,6,2017-06-29,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000593,Ventilating Fans - General,16,2007-11-08,32,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category U (Unverified Asset): Further investigation required to identify asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000594,Room Air Conditioners,6,2017-09-27,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000595,Room Air Conditioners,3,2021-04-05,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000596,Room Air Conditioners,0,2023-10-23,53,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000597,Roof and Canopy Fall Protection Systems,12,2011-11-03,35,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,5. Severe,HAR-002,Harrow Campus,Harrow Campus,Michael Turner,View
1000598,Roof and Canopy Fall Protection Systems,6,2017-12-07,62,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,5. Severe,HAR-002,Harrow Campus,Harrow Campus,Michael Turner,View
1000599,Fixed Access Ladders and Stairs,19,2005-04-12,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,HAR-002,Harrow Campus,Harrow Campus,Michael Turner,View
1000600,Solenoid Gas/Oil Shut-off (Safety) Valves,0,2023-06-11,87,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,5. Severe,HAR-002,Harrow Campus,Harrow Campus,Michael Turner,View
1000601,Meter Reading - Gas,3,2020-05-04,84,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,HAR-002,Harrow Campus,Harrow Campus,Michael Turner,View
1000602,Meter Reading - Water,2,2021-06-04,81,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000603,Room Air Conditioners,5,2019-01-18,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000604,Fixed Access Ladders and Stairs,13,2010-11-16,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000605,Rising Fire Mains and Hydrants,16,2007-10-07,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,5. Severe,HAR-002,Harrow Campus,Harrow Campus,Michael Turner,View
1000606,Sewage or Drainage Pumps Submersible,12,2012-02-27,48,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,SS-001,Harrow Campus,Student Services,Michael Turner,View
1000607,Automatic Vehicle Barrier,7,2017-03-09,63,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,3. Moderate,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000608,Sewage or Drainage Pumps Submersible,11,2012-06-02,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000609,Automatic Vehicle Barrier,9,2015-02-04,54,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000610,Automatic Vehicle Barrier,9,2014-06-11,41,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,3. Moderate,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000611,Sewage or Drainage Pumps Submersible,6,2017-11-02,63,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,4. Significant,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000612,Fluid Filled Transformer,7,2016-10-04,83,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,5. Severe,CNC-001,Harrow Campus,CNC Facility,Michael Turner,View
1000613,Cold Water Storage Tanks and Cisterns,19,2005-04-20,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,COP-032,Cavendish Campus,Copland,Daniel Martinez,View
1000614,Pumps - General,18,2005-06-03,39,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,4. Significant,COP-033,Cavendish Campus,Copland,Daniel Martinez,View
1000615,Electric Immersion Water,6,2018-03-26,62,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,3. Moderate,COP-033,Cavendish Campus,Copland,Daniel Martinez,View
1000616,Solenoid Gas/Oil Shut-off (Safety) Valves,13,2010-08-06,52,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,5. Severe,COP-033,Cavendish Campus,Copland,Daniel Martinez,View
1000617,Electric Immersion Water,1,2023-02-02,74,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,3. Moderate,COP-032,Cavendish Campus,Copland,Daniel Martinez,View
1000618,Circulating Pumps - General,17,2006-06-23,64,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,4. Significant,SR-003,Cavendish Campus,Student Residences,Daniel Martinez,View
1000619,Pumps - General,2,2021-05-17,61,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,4. Significant,COP-033,Cavendish Campus,Copland,Daniel Martinez,View
1000620,Pumps - General,15,2008-11-19,49,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,4. Significant,COP-032,Cavendish Campus,Copland,Daniel Martinez,View
1000621,Pumps - General,5,2018-11-03,71,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,4. Significant,COP-032,Cavendish Campus,Copland,Daniel Martinez,View
1000622,Pumps - General,16,2007-10-30,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,COP-033,Cavendish Campus,Copland,Daniel Martinez,View
1000623,Ventilating Fans - General,6,2017-11-03,88,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,COP-032,Cavendish Campus,Copland,Daniel Martinez,View
1000624,Pumps - General,14,2009-09-15,77,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,3,4. Significant,SR-004,Cavendish Campus,Student Residences,Daniel Martinez,View
1000625,Meter Reading - Water,14,2009-12-02,82,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,2. Minor,LT-001,Cavendish Campus,Cavendish Lecture Theatre,Daniel Martinez,View
1000626,Water Saving Devices and Meters,14,2009-07-18,81,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,2. Minor,LT-002,Cavendish Campus,Cavendish Lecture Theatre,Daniel Martinez,View
1000627,Air Dirt Separators,13,2010-12-21,77,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,4. Significant,LT-001,Cavendish Campus,Cavendish Lecture Theatre,Daniel Martinez,View
1000628,Ventilating Fans - General,18,2005-05-10,57,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,COP-032,Cavendish Campus,Copland,Daniel Martinez,View
1000629,Sewage or Drainage Pumps Submersible,13,2010-12-16,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,HAR-002,Harrow Campus,Harrow Campus,Michael Turner,View
1000630,Fluid Filled Transformer,2,2021-09-03,70,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,5. Severe,HAR-001,Harrow Campus,Harrow Campus,Michael Turner,View
1000631,Vehicle Charging Point,26,1998-02-19,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,NDT-001,Harrow Campus,NDT,Michael Turner,View
1000632,Vehicle Charging Point,3,2020-08-21,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,NDT-001,Harrow Campus,NDT,Michael Turner,View
1000633,Heat meter, calculator and temperature probes,2,2021-09-23,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000634,Ventilating Fans - General,15,2008-07-28,44,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000635,Ventilating Fans - General,12,2011-05-10,35,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000636,Packaged Chiller Units,3,2020-12-12,45,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,4. Significant,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000637,Condensers - Air Cooled,14,2009-12-15,46,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,4. Significant,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000638,Air Handling Units - General,9,2014-10-11,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000639,Air Handling Units - General,3,2021-01-28,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000640,Emergency eye wash station (Plumbed System),2,2021-07-16,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-034,Cavendish Campus,Copland,Daniel Martinez,View
1000641,Sewage or Drainage Pumps Submersible,11,2012-10-28,33,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,4. Significant,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000642,Sewage or Drainage Pumps Submersible,10,2013-10-15,28,CRITICAL,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,4. Significant,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000643,Room Air Conditioners,9,2014-09-27,35,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000644,Room Air Conditioners,8,2015-12-13,37,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000645,Room Air Conditioners,5,2019-04-01,47,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000646,Condensers - Air Cooled,13,2010-05-19,34,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000647,Electric Lifting Block,15,2008-05-08,48,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,1,4. Significant,COP-035,Cavendish Campus,Copland,Daniel Martinez,View
1000648,Solenoid Gas/Oil Shut-off (Safety) Valves,12,2011-08-07,55,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000649,Sewage or Drainage Pumps Submersible,11,2013-03-25,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,COP-022,Cavendish Campus,Copland,Daniel Martinez,View
1000650,Sewage or Drainage Pumps Submersible,10,2013-08-16,62,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,COP-022,Cavendish Campus,Copland,Daniel Martinez,View
1000651,Room Air Conditioners,1,2022-05-23,69,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000652,Sewage or Drainage Pumps Submersible,11,2012-10-29,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000653,Ventilating Fans - General,4,2019-05-22,55,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000654,Ventilating Fans - General,5,2019-03-21,37,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000655,Sewage or Drainage Pumps Submersible,4,2019-10-12,46,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,4. Significant,COP-022,Cavendish Campus,Copland,Daniel Martinez,View
1000656,Sewage or Drainage Pumps Submersible,11,2012-05-14,36,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,4. Significant,COP-022,Cavendish Campus,Copland,Daniel Martinez,View
1000657,Sewage or Drainage Pumps Submersible,5,2018-07-31,62,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,4. Significant,COP-022,Cavendish Campus,Copland,Daniel Martinez,View
1000658,Sewage or Drainage Pumps Submersible,9,2014-10-30,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,COP-022,Cavendish Campus,Copland,Daniel Martinez,View
1000659,Ventilating Fans - General,10,2013-09-23,31,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000660,Ventilating Fans - General,16,2007-08-21,43,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000661,Ventilating Fans - General,15,2009-04-04,63,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000662,Ventilating Fans - General,15,2009-03-28,45,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000663,Ventilating Fans - General,4,2020-02-20,44,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000664,Ventilating Fans - General,14,2009-06-12,63,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000665,Sewage or Drainage Pumps Submersible,8,2015-12-21,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000666,Sewage or Drainage Pumps Submersible,10,2014-04-17,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000667,Ventilating Fans - General,1,2023-03-21,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
